site,year,wyt,county,sierra_coast,trib,trib_name,reg,em_obs_total,surv_dist_km,egg_per_km,obs_strt,obs_end,estim_strt,estim_end,source_notes,notes
NFA-RRAV,2020,C,PLACER,S,Y,Robbers Ravine,N,5,0.1,50,2020-05-06,NA,2020-04-29,NA,UCD,NA
BEAR-STHO,2020,C,PLACER,S,Y,Steep Hollow,N,33,0.3,110,2020-05-25,NA,2020-05-17,NA,UCD,NA
NFA,2020,C,PLACER,S,N,NA,N,30,0.9,33.333333333333336,2020-06-03,NA,2020-05-21,2020-06-01,UCD,NA
NFA-RRAV,2021,C,PLACER,S,Y,Robbers Ravine,N,6,0.1,60,2021-05-14,NA,2021-05-02,NA,UCD,"visited 2021-04-23 obs gravid females, no eggs"
NFA,2021,C,PLACER,S,N,NA,N,38,0.9,42.22222222222222,2021-05-14,NA,2021-05-02,NA,UCD,NA
NFA-RRAV,2022,C,PLACER,S,Y,Robbers Ravine,N,4,0.1,40,2022-05-29,NA,2022-05-01,NA,UCD,"could have started breeding in mid April and second spate, but didn't observe tads at different size classes"
NFA,2022,C,PLACER,S,N,NA,N,7,0.2,35,2022-05-29,NA,2022-05-14,NA,UCD,"surveyed XS9 up, most eggs very recent, but several hatching out"
NFA-RRAV,2023,AN,PLACER,S,Y,Robbers Ravine,N,4,0.1,40,2023-05-19,NA,2023-05-01,NA,RAP,NA
SFGREENHORN,2023,AN,NA,S,Y,SF Greenhorn,N,30,1.5,20,2023-05-26,NA,2023-05-05,NA,RAP,NA
STEEPHOLLOW,2023,AN,NA,S,N,Steephollow,N,48,0.7,68.57142857142857,2023-06-01,NA,2023-05-10,NA,RAP,NA
NFMFA-SKUNK,2023,AN,PLACER,S,Y,Skunk Gulch,N,1,0.1,10,2023-05-25,NA,2023-05-11,NA,RAP,NA
NFA,2023,AN,PLACER,S,N,NA,N,11,0.4,27.5,2023-07-07,NA,2023-06-01,NA,RAP,"likely started early June, eggs still hatching out but tad clusters as well"
