Row,Site,Date,EggIDXSec,Meso_Type,Sub_Cat_8,Total_Depth,Mid_Velocity,Data_Type,Site_Code,SQRT_Velocity,Depth_Squared,Sub_Cont_8,Sub_Cat_6,Sub_Cont_6,velocity_plus_0005,Velocity_plus_005,SQRT_Vel005,Sub_Medians_Bldfix600,SubMedians_2,SubScoreBedadjusted,SubMedianBedadjusted,RandomSite,RandomDataType,RandomDepth,RandomSQRTVEL005,RandomDepthSqrd,RandomSubScoreBedADJ,Roughness_Sqyared,RandomSubBed_6,RandomSubBed6SQRD
170,MF FEATHER,39980,5,RUN,7,0.84,0.61,AVAILABLE,2,0.781024968,0.7056,512,5,428,0.6105,0.615,0.784219357,428,183184,6,428,MF YUBA,Use,0.84,0.234520788,0.7056,5,25,4,16
170,MF FEATHER,39980,2,RUN,4,0.18,0.05,AVAILABLE,2,0.223606798,0.0324,96,4,160,0.0505,0.055,0.234520788,160,25600,5,160,NF FEATHER,Use,0.36,0.122474487,0.1296,6,36,5,25
170,NF FEATHER,39966,1,RUN,5,0.96,0.38,AVAILABLE,6,0.6164414,0.9216,192,4,160,0.3805,0.385,0.620483682,160,25600,5,160,NFMF AMERICAN,Use,0.41,0.122474487,0.1681,4,16,6,36
170,NFMF AMERICAN,39967,5,RUN,6,0.26,0.02,AVAILABLE,4,0.141421356,0.0676,334,5,428,0.0205,0.025,0.158113883,428,183184,6,428,MF YUBA,Use,0.43,0.158113883,0.1849,5,25,4,16
170,NF AMERICAN,39974,8,POOL,7,0.64,0.06,AVAILABLE,5,0.244948974,0.4096,512,5,428,0.0605,0.065,0.254950976,428,183184,6,428,NF AMERICAN,Use,0.23,0.070710678,0.0529,6,36,5,25
170,MF YUBA,39966,2,CA3ADE,5,0.52,0.36,AVAILABLE,3,0.6,0.2704,192,4,160,0.3605,0.365,0.604152299,160,25600,5,160,RUBICON,Use,0.18,0.187082869,0.0324,5,25,4,16
170,MF YUBA,39966,3,RUN,4,0.4,0.44,AVAILABLE,3,0.663324958,0.16,96,4,160,0.4405,0.445,0.667083203,160,25600,5,160,NF FEATHER,Use,0.28,0.324037035,0.0784,5,25,4,16
170,MF YUBA,39966,9,RAPID,6,0.1,0.13,AVAILABLE,3,0.360555128,0.01,334,5,428,0.1305,0.135,0.367423461,428,183184,6,428,NFMF AMERICAN,Use,0.28,0.122474487,0.0784,6,36,5,25
170,MF FEATHER,39980,6,RUN,7,0.12,0.35,AVAILABLE,2,0.591607978,0.0144,512,5,428,0.3505,0.355,0.595818764,428,183184,6,428,RUBICON,Use,0.6,0.122474487,0.36,6,36,5,25
170,MF YUBA,39966,4,RUN,4,0.3,0.28,AVAILABLE,3,0.529150262,0.09,96,4,160,0.2805,0.285,0.533853913,160,25600,5,160,NF FEATHER,Use,0.48,0.367423461,0.2304,5,25,4,16
170,NFMF AMERICAN,39967,10,RUN,4,0.42,0.16,AVAILABLE,4,0.4,0.1764,96,4,160,0.1605,0.165,0.40620192,160,25600,5,160,NF FEATHER,Use,0.5,0.291547595,0.25,5,25,4,16
170,NF AMERICAN,39974,8,POOL,5,0.38,0.07,AVAILABLE,5,0.264575131,0.1444,192,4,160,0.0705,0.075,0.273861279,160,25600,5,160,NF FEATHER,Use,0.4,0.070710678,0.16,6,36,5,25
170,NF AMERICAN,39974,8,POOL,8,0.8,0.29,AVAILABLE,5,0.538516481,0.64,600,6,800,0.2905,0.295,0.543139025,600,360000,4,294,MF FEATHER,Use,0.82,0.40620192,0.6724,5,25,4,16
170,MF YUBA,39966,3,RUN,6,0.48,0.95,AVAILABLE,3,0.974679434,0.2304,334,5,428,0.9505,0.955,0.977241014,428,183184,6,428,NF FEATHER,Use,0.34,0.353553391,0.1156,5,25,4,16
170,NF FEATHER,39966,5,RUN,3,0.12,0,AVAILABLE,6,0,0.0144,31,3,32,0.0005,0.005,0.070710678,32,1024,3,32,NF AMERICAN,Use,0.29,0.122474487,0.0841,5,25,4,16
170,MF FEATHER,39980,4,RIFFLE,6,0.09,0.01,AVAILABLE,2,0.1,0.0081,334,5,428,0.0105,0.015,0.122474487,428,183184,6,428,RUBICON,Use,0.3,0.212132034,0.09,6,36,5,25
170,MF YUBA,39966,2,CA3ADE,4,0.18,0.15,AVAILABLE,3,0.387298335,0.0324,96,4,160,0.1505,0.155,0.393700394,160,25600,5,160,MF YUBA,Use,0.52,0.158113883,0.2704,6,36,5,25
170,MF FEATHER,39980,4,RIFFLE,6,0.86,0.71,AVAILABLE,2,0.842614977,0.7396,334,5,428,0.7105,0.715,0.845576726,428,183184,6,428,NF FEATHER,Use,0.33,0.122474487,0.1089,6,36,5,25
170,MF FEATHER,39980,12,POOL,8,0.2,0.26,AVAILABLE,2,0.509901951,0.04,600,6,800,0.2605,0.265,0.514781507,600,360000,4,294,SF AMERICAN,Use,0.38,0.353553391,0.1444,5,25,4,16
170,NF FEATHER,39966,13,RUN,5,0.97,0.47,AVAILABLE,6,0.68556546,0.9409,192,4,160,0.4705,0.475,0.689202438,160,25600,5,160,NF FEATHER,Use,0.38,0.158113883,0.1444,6,36,5,25
170,MF YUBA,39966,4,RUN,4,0.6,0.05,AVAILABLE,3,0.223606798,0.36,96,4,160,0.0505,0.055,0.234520788,160,25600,5,160,SF AMERICAN,Use,0.45,0.418330013,0.2025,5,25,4,16
170,MF YUBA,39966,8,RAPID,3,0.52,0.01,AVAILABLE,3,0.1,0.2704,31,3,32,0.0105,0.015,0.122474487,32,1024,3,32,NF AMERICAN,Use,0.21,0.122474487,0.0441,5,25,4,16
170,MF FEATHER,39980,9,RAPID,7,0.38,0.04,AVAILABLE,2,0.2,0.1444,512,5,428,0.0405,0.045,0.212132034,428,183184,6,428,NFMF AMERICAN,Use,0.13,0.187082869,0.0169,,,,
170,NF AMERICAN,39974,3,RUN,5,0.46,0.92,AVAILABLE,5,0.959166305,0.2116,192,4,160,0.9205,0.925,0.961769203,160,25600,5,160,NF FEATHER,Use,0.26,0.122474487,0.0676,6,36,5,25
170,NF FEATHER,39966,9,RUN,6,0.44,0.15,AVAILABLE,6,0.387298335,0.1936,334,5,428,0.1505,0.155,0.393700394,428,183184,6,428,RUBICON,Use,0.24,0.187082869,0.0576,6,36,5,25
170,RUBICON,39962,10,RUN,7,0.32,0.93,AVAILABLE,7,0.964365076,0.1024,512,5,428,0.9305,0.935,0.96695398,428,183184,6,428,MF YUBA,Use,0.62,0.353553391,0.3844,5,25,4,16
170,MF FEATHER,39980,12,POOL,4,0.8,0.13,AVAILABLE,2,0.360555128,0.64,96,4,160,0.1305,0.135,0.367423461,160,25600,5,160,MF FEATHER,Use,0.64,0.393700394,0.4096,5,25,4,16
170,NF AMERICAN,39974,13,RUN,5,0.2,0.14,AVAILABLE,5,0.374165739,0.04,192,4,160,0.1405,0.145,0.380788655,160,25600,5,160,SF AMERICAN,Use,0.46,0.353553391,0.2116,6,36,5,25
170,NF FEATHER,39966,9,RUN,6,0.36,0.11,AVAILABLE,6,0.331662479,0.1296,334,5,428,0.1105,0.115,0.339116499,428,183184,6,428,NF FEATHER,Use,0.38,0.122474487,0.1444,6,36,5,25
170,MF FEATHER,39980,5,RUN,5,1.04,0.75,AVAILABLE,2,0.866025404,1.0816,192,4,160,0.7505,0.755,0.86890736,160,25600,5,160,NF AMERICAN,Use,0.62,0.070710678,0.3844,6,36,5,25
170,NF AMERICAN,39974,5,RIFFLE,6,0.36,1.37,AVAILABLE,5,1.170469991,0.1296,334,5,428,1.3705,1.375,1.17260394,428,183184,6,428,RUBICON,Use,0.2,0.070710678,0.04,6,36,5,25
170,MF YUBA,39966,2,CA3ADE,7,0.09,0.17,AVAILABLE,3,0.412310563,0.0081,512,5,428,0.1705,0.175,0.418330013,428,183184,6,428,SF AMERICAN,Use,0.4,0.212132034,0.16,5,25,4,16
170,MF YUBA,39966,4,RUN,7,0.6,0.34,AVAILABLE,3,0.583095189,0.36,512,5,428,0.3405,0.345,0.587367006,428,183184,6,428,RUBICON,Use,0.3,0.393700394,0.09,6,36,5,25
170,NF FEATHER,39966,3,RAPID,6,0.58,0.07,AVAILABLE,6,0.264575131,0.3364,334,5,428,0.0705,0.075,0.273861279,428,183184,6,428,MF YUBA,Use,0.24,0.070710678,0.0576,6,36,5,25
170,NF AMERICAN,39974,2,RAPID,6,0.18,1.1,AVAILABLE,5,1.048808848,0.0324,334,5,428,1.1005,1.105,1.051189802,428,183184,6,428,NF FEATHER,Use,0.5,0.40620192,0.25,6,36,5,25
170,NF FEATHER,39966,9,RUN,7,0.5,0.08,AVAILABLE,6,0.282842712,0.25,512,5,428,0.0805,0.085,0.291547595,428,183184,6,428,MF FEATHER,Use,0.42,0.122474487,0.1764,6,36,5,25
170,RUBICON,39962,11,RUN,4,0.26,0.29,AVAILABLE,7,0.538516481,0.0676,96,4,160,0.2905,0.295,0.543139025,160,25600,5,160,NF FEATHER,Use,0.2,0.122474487,0.04,5,25,4,16
170,NF AMERICAN,39974,4,RIFFLE,7,0.2,0.01,AVAILABLE,5,0.1,0.04,512,5,428,0.0105,0.015,0.122474487,428,183184,6,428,NF FEATHER,Use,0.42,0.070710678,0.1764,6,36,5,25
170,NF AMERICAN,39974,5,RIFFLE,6,0.5,0.92,AVAILABLE,5,0.959166305,0.25,334,5,428,0.9205,0.925,0.961769203,428,183184,6,428,NF FEATHER,Use,0.5,0.393700394,0.25,5,25,4,16
170,MF FEATHER,39980,6,RUN,6,0.28,0.02,AVAILABLE,2,0.141421356,0.0784,334,5,428,0.0205,0.025,0.158113883,428,183184,6,428,RUBICON,Use,0.2,0.367423461,0.04,6,36,5,25
170,RUBICON,39962,11,RUN,4,0.41,0.1,AVAILABLE,7,0.316227766,0.1681,96,4,160,0.1005,0.105,0.324037035,160,25600,5,160,,,,,,,,,
170,MF FEATHER,39980,6,RUN,2,0.56,0.07,AVAILABLE,2,0.264575131,0.3136,2,2,1.025,0.0705,0.075,0.273861279,1.025,1.050625,2,1.025,,,,,,,,,
170,NF AMERICAN,39974,1,RAPID,5,0.2,0.1,AVAILABLE,5,0.316227766,0.04,192,4,160,0.1005,0.105,0.324037035,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,9,RAPID,4,0.28,0.13,AVAILABLE,3,0.360555128,0.0784,96,4,160,0.1305,0.135,0.367423461,160,25600,5,160,,,,,,,,,
170,NF FEATHER,39966,1,RUN,4,0.42,0.02,AVAILABLE,6,0.141421356,0.1764,96,4,160,0.0205,0.025,0.158113883,160,25600,5,160,,,,,,,,,
170,NF FEATHER,39966,7,RUN,6,1.04,0.56,AVAILABLE,6,0.748331477,1.0816,334,5,428,0.5605,0.565,0.751664819,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,4,RIFFLE,7,0.56,1.12,AVAILABLE,7,1.058300524,0.3136,512,5,428,1.1205,1.125,1.060660172,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,4,RIFFLE,6,0.54,0.29,AVAILABLE,7,0.538516481,0.2916,334,5,428,0.2905,0.295,0.543139025,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,11,POOL,4,0.85,0.06,AVAILABLE,3,0.244948974,0.7225,96,4,160,0.0605,0.065,0.254950976,160,25600,5,160,,,,,,,,,
170,NF FEATHER,39966,13,RUN,3,0.25,0.05,AVAILABLE,6,0.223606798,0.0625,31,3,32,0.0505,0.055,0.234520788,32,1024,3,32,,,,,,,,,
170,NF FEATHER,39966,7,RUN,6,0.58,0.51,AVAILABLE,6,0.714142843,0.3364,334,5,428,0.5105,0.515,0.717635005,428,183184,6,428,,,,,,,,,
170,MF FEATHER,39980,10,RUN,5,0.54,0.19,AVAILABLE,2,0.435889894,0.2916,192,4,160,0.1905,0.195,0.441588043,160,25600,5,160,,,,,,,,,
170,NFMF AMERICAN,39967,11,RUN,7,0.6,0.99,AVAILABLE,4,0.994987437,0.36,512,5,428,0.9905,0.995,0.997496867,428,183184,6,428,,,,,,,,,
170,NF FEATHER,39966,13,RUN,7,0.65,0,AVAILABLE,6,0,0.4225,512,5,428,0.0005,0.005,0.070710678,428,183184,6,428,,,,,,,,,
170,MF FEATHER,39980,1,RUN,4,0.96,0.21,AVAILABLE,2,0.458257569,0.9216,96,4,160,0.2105,0.215,0.463680925,160,25600,5,160,,,,,,,,,
170,NF FEATHER,39966,11,RUN,6,0.8,0.33,AVAILABLE,6,0.574456265,0.64,334,5,428,0.3305,0.335,0.578791845,428,183184,6,428,,,,,,,,,
170,NF AMERICAN,39974,4,RIFFLE,7,0.14,0.64,AVAILABLE,5,0.8,0.0196,512,5,428,0.6405,0.645,0.80311892,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,6,POOL,5,0.94,0.23,AVAILABLE,7,0.479583152,0.8836,192,4,160,0.2305,0.235,0.484767986,160,25600,5,160,,,,,,,,,
170,NF FEATHER,39966,9,RUN,7,0.74,0.29,AVAILABLE,6,0.538516481,0.5476,512,5,428,0.2905,0.295,0.543139025,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,6,POOL,5,0.68,0.06,AVAILABLE,3,0.244948974,0.4624,192,4,160,0.0605,0.065,0.254950976,160,25600,5,160,,,,,,,,,
170,NFMF AMERICAN,39967,10,RUN,5,0.6,0.75,AVAILABLE,4,0.866025404,0.36,192,4,160,0.7505,0.755,0.86890736,160,25600,5,160,,,,,,,,,
170,NF FEATHER,39966,3,RAPID,5,0.11,0.01,AVAILABLE,6,0.1,0.0121,192,4,160,0.0105,0.015,0.122474487,160,25600,5,160,,,,,,,,,
170,NFMF AMERICAN,39967,11,RUN,3,0.28,0.44,AVAILABLE,4,0.663324958,0.0784,31,3,32,0.4405,0.445,0.667083203,32,1024,3,32,,,,,,,,,
170,MF YUBA,39966,9,RAPID,5,0.68,0.2,AVAILABLE,3,0.447213595,0.4624,192,4,160,0.2005,0.205,0.452769257,160,25600,5,160,,,,,,,,,
170,MF FEATHER,39980,10,RUN,6,0.07,0.03,AVAILABLE,2,0.173205081,0.0049,334,5,428,0.0305,0.035,0.187082869,428,183184,6,428,,,,,,,,,
170,NF FEATHER,39966,9,RUN,5,0.17,0.07,AVAILABLE,6,0.264575131,0.0289,192,4,160,0.0705,0.075,0.273861279,160,25600,5,160,,,,,,,,,
170,NF FEATHER,39966,3,RAPID,6,0.48,1.23,AVAILABLE,6,1.109053651,0.2304,334,5,428,1.2305,1.235,1.111305539,428,183184,6,428,,,,,,,,,
170,NFMF AMERICAN,39967,1,POOL,8,0.52,0.03,AVAILABLE,4,0.173205081,0.2704,600,6,800,0.0305,0.035,0.187082869,600,360000,4,294,,,,,,,,,
170,MF YUBA,39966,4,RUN,6,0.68,0.48,AVAILABLE,3,0.692820323,0.4624,334,5,428,0.4805,0.485,0.696419414,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,9,RIFFLE,6,0.51,0.63,AVAILABLE,7,0.793725393,0.2601,334,5,428,0.6305,0.635,0.796868873,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,10,RUN,5,0.38,0.77,AVAILABLE,7,0.877496439,0.1444,192,4,160,0.7705,0.775,0.880340843,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,12,RAPID,6,0.27,0.1,AVAILABLE,5,0.316227766,0.0729,334,5,428,0.1005,0.105,0.324037035,428,183184,6,428,,,,,,,,,
170,NF FEATHER,39966,7,RUN,6,0.52,0.01,AVAILABLE,6,0.1,0.2704,334,5,428,0.0105,0.015,0.122474487,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,10,RUN,4,0.06,0,AVAILABLE,7,0,0.0036,96,4,160,0.0005,0.005,0.070710678,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,7,POOL,1,0.41,0.03,AVAILABLE,7,0.173205081,0.1681,0.5,1,0.025,0.0305,0.035,0.187082869,0.025,0.000625,1,0.025,,,,,,,,,
170,NF AMERICAN,39974,4,RIFFLE,5,0.52,1.22,AVAILABLE,5,1.104536102,0.2704,192,4,160,1.2205,1.225,1.106797181,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,5,RIFFLE,4,0.14,0.41,AVAILABLE,7,0.640312424,0.0196,96,4,160,0.4105,0.415,0.644204936,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,3,RUN,4,0.58,0.87,AVAILABLE,5,0.932737905,0.3364,96,4,160,0.8705,0.875,0.935414347,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,6,RIFFLE,8,0.08,0.27,AVAILABLE,5,0.519615242,0.0064,600,6,800,0.2705,0.275,0.524404424,600,360000,4,294,,,,,,,,,
170,NF AMERICAN,39974,2,RAPID,6,0.18,0.63,AVAILABLE,5,0.793725393,0.0324,334,5,428,0.6305,0.635,0.796868873,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,5,POOL,5,0.83,0.42,AVAILABLE,3,0.64807407,0.6889,192,4,160,0.4205,0.425,0.651920241,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,10,RUN,5,0.31,0.63,AVAILABLE,7,0.793725393,0.0961,192,4,160,0.6305,0.635,0.796868873,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,10,POOL,3,0.07,0.13,AVAILABLE,5,0.360555128,0.0049,31,3,32,0.1305,0.135,0.367423461,32,1024,3,32,,,,,,,,,
170,RUBICON,39962,3,POOL,4,0.82,0.21,AVAILABLE,7,0.458257569,0.6724,96,4,160,0.2105,0.215,0.463680925,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,4,RIFFLE,8,0.3,0.06,AVAILABLE,5,0.244948974,0.09,600,6,800,0.0605,0.065,0.254950976,600,360000,4,294,,,,,,,,,
170,NFMF AMERICAN,39967,3,RUN,7,0.38,0.99,AVAILABLE,4,0.994987437,0.1444,512,5,428,0.9905,0.995,0.997496867,428,183184,6,428,,,,,,,,,
170,MF FEATHER,39980,1,RUN,6,0.98,0.21,AVAILABLE,2,0.458257569,0.9604,334,5,428,0.2105,0.215,0.463680925,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,10,POOL,7,0.3,0.36,AVAILABLE,3,0.6,0.09,512,5,428,0.3605,0.365,0.604152299,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,10,POOL,4,0.11,0.11,AVAILABLE,3,0.331662479,0.0121,96,4,160,0.1105,0.115,0.339116499,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,2,CA3ADE,6,0.28,0.35,AVAILABLE,3,0.591607978,0.0784,334,5,428,0.3505,0.355,0.595818764,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,10,RUN,6,0.35,0.13,AVAILABLE,7,0.360555128,0.1225,334,5,428,0.1305,0.135,0.367423461,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,9,RAPID,7,0.36,0.92,AVAILABLE,3,0.959166305,0.1296,512,5,428,0.9205,0.925,0.961769203,428,183184,6,428,,,,,,,,,
170,MF FEATHER,39980,4,RIFFLE,7,0.58,0.65,AVAILABLE,2,0.806225775,0.3364,512,5,428,0.6505,0.655,0.809320703,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,11,POOL,3,0.28,0.05,AVAILABLE,3,0.223606798,0.0784,31,3,32,0.0505,0.055,0.234520788,32,1024,3,32,,,,,,,,,
170,RUBICON,39962,5,RIFFLE,4,0.01,0,AVAILABLE,7,0,0.0001,96,4,160,0.0005,0.005,0.070710678,160,25600,5,160,,,,,,,,,
170,NFMF AMERICAN,39967,9,RUN,8,0.06,0.33,AVAILABLE,4,0.574456265,0.0036,600,6,800,0.3305,0.335,0.578791845,600,360000,4,294,,,,,,,,,
170,RUBICON,39962,11,RUN,5,0.77,0.46,AVAILABLE,7,0.678232998,0.5929,192,4,160,0.4605,0.465,0.681909085,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,2,CA3ADE,5,0.18,0.04,AVAILABLE,3,0.2,0.0324,192,4,160,0.0405,0.045,0.212132034,160,25600,5,160,,,,,,,,,
170,NF FEATHER,39966,9,RUN,7,0.25,0.19,AVAILABLE,6,0.435889894,0.0625,512,5,428,0.1905,0.195,0.441588043,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,10,POOL,4,0.38,0.06,AVAILABLE,3,0.244948974,0.1444,96,4,160,0.0605,0.065,0.254950976,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,4,RIFFLE,5,0.54,0.69,AVAILABLE,7,0.830662386,0.2916,192,4,160,0.6905,0.695,0.8336666,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,10,RUN,7,0.38,0.83,AVAILABLE,7,0.911043358,0.1444,512,5,428,0.8305,0.835,0.913783344,428,183184,6,428,,,,,,,,,
170,NF AMERICAN,39974,4,RIFFLE,5,0.5,1.38,AVAILABLE,5,1.174734012,0.25,192,4,160,1.3805,1.385,1.17686023,160,25600,5,160,,,,,,,,,
170,MF FEATHER,39980,11,RUN,4,0.62,0.61,AVAILABLE,2,0.781024968,0.3844,96,4,160,0.6105,0.615,0.784219357,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,1,RIFFLE,5,0.25,0.25,AVAILABLE,7,0.5,0.0625,192,4,160,0.2505,0.255,0.504975247,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,2,CA3ADE,7,0.46,0.84,AVAILABLE,3,0.916515139,0.2116,512,5,428,0.8405,0.845,0.919238816,428,183184,6,428,,,,,,,,,
170,NF AMERICAN,39974,9,POOL,4,0.88,0,AVAILABLE,5,0,0.7744,96,4,160,0.0005,0.005,0.070710678,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,5,POOL,4,0.64,0.16,AVAILABLE,3,0.4,0.4096,96,4,160,0.1605,0.165,0.40620192,160,25600,5,160,,,,,,,,,
170,MF FEATHER,39980,2,RUN,6,0.4,0.07,AVAILABLE,2,0.264575131,0.16,334,5,428,0.0705,0.075,0.273861279,428,183184,6,428,,,,,,,,,
170,NF AMERICAN,39974,9,POOL,5,0.77,0.01,AVAILABLE,5,0.1,0.5929,192,4,160,0.0105,0.015,0.122474487,160,25600,5,160,,,,,,,,,
170,NF FEATHER,39966,1,RUN,7,0.66,0.29,AVAILABLE,6,0.538516481,0.4356,512,5,428,0.2905,0.295,0.543139025,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,3,RUN,6,0.08,0.31,AVAILABLE,3,0.556776436,0.0064,334,5,428,0.3105,0.315,0.561248608,428,183184,6,428,,,,,,,,,
170,NF AMERICAN,39974,13,RUN,7,0.54,0.84,AVAILABLE,5,0.916515139,0.2916,512,5,428,0.8405,0.845,0.919238816,428,183184,6,428,,,,,,,,,
170,MF FEATHER,39980,1,RUN,2,0.05,0.04,AVAILABLE,2,0.2,0.0025,2,2,1.025,0.0405,0.045,0.212132034,1.025,1.050625,2,1.025,,,,,,,,,
170,NFMF AMERICAN,39967,8,RIFFLE,7,0.25,0.01,AVAILABLE,4,0.1,0.0625,512,5,428,0.0105,0.015,0.122474487,428,183184,6,428,,,,,,,,,
170,NF AMERICAN,39974,7,RUN,8,1.01,0.47,AVAILABLE,5,0.68556546,1.0201,600,6,800,0.4705,0.475,0.689202438,600,360000,4,294,,,,,,,,,
170,NFMF AMERICAN,39967,8,RIFFLE,7,0.75,0.79,AVAILABLE,4,0.888819442,0.5625,512,5,428,0.7905,0.795,0.891627725,428,183184,6,428,,,,,,,,,
170,NFMF AMERICAN,39967,6,RAPID,7,0.4,0.08,AVAILABLE,4,0.282842712,0.16,512,5,428,0.0805,0.085,0.291547595,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,8,RAPID,7,0.86,0.03,AVAILABLE,3,0.173205081,0.7396,512,5,428,0.0305,0.035,0.187082869,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,6,POOL,4,0.98,0.14,AVAILABLE,7,0.374165739,0.9604,96,4,160,0.1405,0.145,0.380788655,160,25600,5,160,,,,,,,,,
170,MF FEATHER,39980,1,RUN,5,0.98,0.26,AVAILABLE,2,0.509901951,0.9604,192,4,160,0.2605,0.265,0.514781507,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,11,RUN,4,0.22,0.33,AVAILABLE,7,0.574456265,0.0484,96,4,160,0.3305,0.335,0.578791845,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,8,POOL,8,0.44,0.02,AVAILABLE,5,0.141421356,0.1936,600,6,800,0.0205,0.025,0.158113883,600,360000,4,294,,,,,,,,,
170,NF FEATHER,39966,7,RUN,6,0.97,0.09,AVAILABLE,6,0.3,0.9409,334,5,428,0.0905,0.095,0.3082207,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,5,POOL,5,0.87,0.08,AVAILABLE,3,0.282842712,0.7569,192,4,160,0.0805,0.085,0.291547595,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,3,POOL,5,1.08,0.31,AVAILABLE,7,0.556776436,1.1664,192,4,160,0.3105,0.315,0.561248608,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,6,RIFFLE,8,0.1,0,AVAILABLE,5,0,0.01,600,6,800,0.0005,0.005,0.070710678,600,360000,4,294,,,,,,,,,
170,RUBICON,39962,9,RIFFLE,7,0.5,0.86,AVAILABLE,7,0.92736185,0.25,512,5,428,0.8605,0.865,0.930053762,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,4,RIFFLE,6,0.72,0.83,AVAILABLE,7,0.911043358,0.5184,334,5,428,0.8305,0.835,0.913783344,428,183184,6,428,,,,,,,,,
170,MF FEATHER,39980,10,RUN,6,0.89,1.17,AVAILABLE,2,1.081665383,0.7921,334,5,428,1.1705,1.175,1.083974169,428,183184,6,428,,,,,,,,,
170,NF AMERICAN,39974,3,RUN,5,0.5,0.62,AVAILABLE,5,0.787400787,0.25,192,4,160,0.6205,0.625,0.790569415,160,25600,5,160,,,,,,,,,
170,MF FEATHER,39980,9,RAPID,7,0.04,0.38,AVAILABLE,2,0.6164414,0.0016,512,5,428,0.3805,0.385,0.620483682,428,183184,6,428,,,,,,,,,
170,NF AMERICAN,39974,5,RIFFLE,6,0.37,0.49,AVAILABLE,5,0.7,0.1369,334,5,428,0.4905,0.495,0.703562364,428,183184,6,428,,,,,,,,,
170,NFMF AMERICAN,39967,9,RUN,8,0.05,0,AVAILABLE,4,0,0.0025,600,6,800,0.0005,0.005,0.070710678,600,360000,4,294,,,,,,,,,
170,MF FEATHER,39980,6,RUN,7,0.84,0.66,AVAILABLE,2,0.81240384,0.7056,512,5,428,0.6605,0.665,0.815475322,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,3,RUN,4,0.61,0.52,AVAILABLE,3,0.721110255,0.3721,96,4,160,0.5205,0.525,0.724568837,160,25600,5,160,,,,,,,,,
170,MF FEATHER,39980,1,RUN,4,0.61,0.01,AVAILABLE,2,0.1,0.3721,96,4,160,0.0105,0.015,0.122474487,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,3,RUN,4,0.3,0.3,AVAILABLE,3,0.547722558,0.09,96,4,160,0.3005,0.305,0.552268051,160,25600,5,160,,,,,,,,,
170,NFMF AMERICAN,39967,9,RUN,7,0.4,0.22,AVAILABLE,4,0.469041576,0.16,512,5,428,0.2205,0.225,0.474341649,428,183184,6,428,,,,,,,,,
170,NF AMERICAN,39974,2,RAPID,4,0.21,0,AVAILABLE,5,0,0.0441,96,4,160,0.0005,0.005,0.070710678,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,10,POOL,4,0.16,0.15,AVAILABLE,3,0.387298335,0.0256,96,4,160,0.1505,0.155,0.393700394,160,25600,5,160,,,,,,,,,
170,NFMF AMERICAN,39967,7,RAPID,7,0.4,1.02,AVAILABLE,4,1.009950494,0.16,512,5,428,1.0205,1.025,1.012422837,428,183184,6,428,,,,,,,,,
